start_ip,end_ip,join_key,asn,domain,name,type,country
2800:484:cb00::,2800:484:cbff:ffff:ffff:ffff:ffff:ffff,2800:484:c000::,AS10620,telmexla.net.co,Telmex Colombia S.A.,isp,CO
2c0e:66f:4000::,2c0e:66f:7fff:ffff:ffff:ffff:ffff:ffff,2c0e:66f:4000::,AS24863,link.net,Link Egypt (Link.NET),isp,EG
240a:cc73::,240a:cc73:3fff:ffff:ffff:ffff:ffff:ffff,240a:cc73::,AS137726,pcitc.com,China Petroleum & Chemical Corporation,business,CN
2409:8098:c000::,2409:8098:ffff:ffff:ffff:ffff:ffff:ffff,2409:8098:c000::,AS9808,10086.cn,"China Mobile Communications Group Co., Ltd.",isp,CN
2003:ac3::,2003:ac3:3fff:ffff:ffff:ffff:ffff:ffff,2003:ac3::,AS3320,telekom.com,Deutsche Telekom AG,isp,DE
240a:a04a::,240a:a04a:3fff:ffff:ffff:ffff:ffff:ffff,240a:a04a::,AS142724,,,inactive,
2001:8513:8000::,2001:8513:bfff:ffff:ffff:ffff:ffff:ffff,2001:8513:8000::,AS1221,telstra.com.au,Telstra Corporation Ltd,isp,AU
2a02:a428:4000::,2a02:a428:7fff:ffff:ffff:ffff:ffff:ffff,2a02:a428:4000::,AS1136,kpn.com,KPN B.V.,isp,NL
2a09:5cc6:c000::,2a09:5cc6:ffff:ffff:ffff:ffff:ffff:ffff,2a09:5cc6:c000::,AS199163,ubl-is.de,DATAGROUP Frankfurt GmbH,business,DE
2a00:e60:4000::,2a00:e60:7fff:ffff:ffff:ffff:ffff:ffff,2a00:e60:4000::,AS62023,nynex.de,NYNEX satellite OHG,business,DE
240c:4002::,240c:4002:3fff:ffff:ffff:ffff:ffff:ffff,240c:4002::,AS38365,baidu.com,"Beijing Baidu Netcom Science and Technology Co., Ltd.",hosting,CN
200.106.235.0,200.106.236.255,200.106.0.0,AS23383,metrored.hn,METRORED S.A. DE C.V.,isp,HN
193.27.48.0,193.27.55.255,193.27.0.0,AS15451,datev.de,DATEV eG,isp,DE
2001:b151:4000::,2001:b151:7fff:ffff:ffff:ffff:ffff:ffff,2001:b151:4000::,AS3462,hinet.net,Data Communication Business Group,isp,TW
240a:ce6f:4000::,240a:ce6f:7fff:ffff:ffff:ffff:ffff:ffff,240a:ce6f:4000::,AS137726,pcitc.com,China Petroleum & Chemical Corporation,business,CN
64.84.39.0,64.84.39.255,64.84.0.0,AS23005,switch.com,"SWITCH, LTD",hosting,US
2a0b:af87:8000::,2a0b:af87:bfff:ffff:ffff:ffff:ffff:ffff,2a0b:af87:8000::,AS206310,waxx.it,Waxx SAS,business,FR
2003:1c50:4000::,2003:1c50:7fff:ffff:ffff:ffff:ffff:ffff,2003:1c50:4000::,AS3320,telekom.com,Deutsche Telekom AG,isp,DE
91.219.172.0,91.219.175.255,91.219.0.0,AS51726,stt.fi,Oy Suomen Tietotoimisto - Finska Notisbyran Ab,business,FI
174.136.204.0,174.136.207.255,174.136.0.0,AS906,dmit.com,DMIT Cloud Services,hosting,US
217.174.159.0,217.174.159.255,217.174.0.0,AS57344,telehouse.bg,Telehouse EAD,isp,BG
177.239.224.0,177.239.228.255,177.239.0.0,AS28554,izzi.mx,Cablemas Telecomunicaciones SA de CV,isp,MX
2a07:1340::,2a07:1340:3fff:ffff:ffff:ffff:ffff:ffff,2a07:1340::,AS34907,ipservices.pl,IP SERVICES Sp. z.o.o.,business,PL
2a06:6281:4000::,2a06:6281:7fff:ffff:ffff:ffff:ffff:ffff,2a06:6281:4000::,AS209390,viadata.nl,ViaData ICT Infrastructuur B.V.,business,NL
2600:98f1:8000::,2600:98f1:bfff:ffff:ffff:ffff:ffff:ffff,2600:98f1:8000::,AS4193,wa.gov,State of Washington,isp,US
2001:201e::,2001:201e:3fff:ffff:ffff:ffff:ffff:ffff,2001:201e::,AS1299,teliacompany.com,Telia Company AB,isp,SE
240e:36:8000::,240e:36:bfff:ffff:ffff:ffff:ffff:ffff,240e:36:8000::,AS4134,chinatelecom.com.cn,CHINANET-BACKBONE,isp,CN
2a0f:ba05:8000::,2a0f:ba05:bfff:ffff:ffff:ffff:ffff:ffff,2a0f:ba05:8000::,AS51088,a2b-internet.com,A2B IP B.V.,isp,NL
69.198.0.0,69.198.255.255,69.198.0.0,AS17184,cbeyond.net,"Fusion Communications, LLC",isp,US
2a11:e3c4::,2a11:e3c4:3fff:ffff:ffff:ffff:ffff:ffff,2a11:e3c4::,AS49032,,Address Management Inc.,hosting,SC
2a02:3180:c000::,2a02:3180:ffff:ffff:ffff:ffff:ffff:ffff,2a02:3180:c000::,AS6805,telefonica.de,Telefonica Germany GmbH & Co.OHG,isp,DE
2a0f:3445:4000::,2a0f:3445:7fff:ffff:ffff:ffff:ffff:ffff,2a0f:3445:4000::,AS37296,afcomsat.com,Afcom Satellite Networks Nigeria Limited,business,NG
2a11:f984:8000::,2a11:f984:bfff:ffff:ffff:ffff:ffff:ffff,2a11:f984:8000::,AS204790,floccus.io,Falco ISP Services B.V.,business,NL
